block	delayTime	amount	lowerLimit	upperLimit	totaltime	average_time
1	180 	3012	917	929	18.5527	2.65038
2	30  	3048	878	890	22.3241	2.02946
3	3650	3027	573	586	21.6775	1.97069
4	5   	3000	2729	2741	21.5815	2.39794
5	1095	3021	361	373	16.2694	1.80771
6	365 	3036	1399	1412	14.209	1.4209
